# eta_bin_center,A_eta  # azimuthal fraction of tracker surface at each eta, from ray-casting the GRENDEL fiducial mesh from the CMS IP
# # acceptance for any model = sum(A(eta)*f(eta)*deta); isotropic check: 0.02384
-1.175000,0.000000
-1.125000,0.000000
-1.075000,0.000000
-1.025000,0.000000
-0.975000,0.000000
-0.925000,0.000000
-0.875000,0.000000
-0.825000,0.000000
-0.775000,0.000000
-0.725000,0.000000
-0.675000,0.000000
-0.625000,0.000000
-0.575000,0.000000
-0.525000,0.022494
-0.475000,0.107651
-0.425000,0.157313
-0.375000,0.129490
-0.325000,0.074464
-0.275000,0.052465
-0.225000,0.043954
-0.175000,0.039882
-0.125000,0.034392
-0.075000,0.035354
-0.025000,0.032969
0.025000,0.035396
0.075000,0.067934
0.125000,0.044323
0.175000,0.013945
0.225000,0.014761
0.275000,0.015160
0.325000,0.016918
0.375000,0.019721
0.425000,0.026074
0.475000,0.043059
0.525000,0.031689
0.575000,0.006981
0.625000,0.000000
0.675000,0.000000
0.725000,0.000000
0.775000,0.000000
0.825000,0.000000
0.875000,0.000000
0.925000,0.000000
0.975000,0.000000
1.025000,0.000000
1.075000,0.000000
1.125000,0.000000
1.175000,0.000000
