 0.010,  243569.140625 ,      0.095200
 0.011,  243654.078125 ,      0.102400
 0.012,  243699.546875 ,      0.104600
 0.013,  243876.406250 ,      0.103600
 0.014,  243897.375000 ,      0.096100
 0.015,  244062.578125 ,      0.097800
 0.016,  243907.015625 ,      0.090600
 0.017,  243308.828125 ,      0.097100
 0.018,  244346.687500 ,      0.099500
 0.019,  244645.281250 ,      0.100700
 0.020,  243880.546875 ,      0.101000
 0.021,  244039.531250 ,      0.102300
 0.022,  244595.953125 ,      0.096100
 0.023,  244087.453125 ,      0.098300
 0.025,  243922.468750 ,      0.101600
 0.026,  243584.234375 ,      0.101500
 0.030,  243732.406250 ,      0.098100
 0.031,  244054.375000 ,      0.094700
 0.032,  244497.531250 ,      0.098100
 0.033,  244096.406250 ,      0.089500
 0.034,  244777.515625 ,      0.096700
 0.035,  244932.203125 ,      0.096000
 0.036,  243813.125000 ,      0.100000
 0.037,  244266.812500 ,      0.100500
 0.038,  244775.562500 ,      0.098800
 0.039,  243849.234375 ,      0.105600
 0.040,  244108.296875 ,      0.098000
 0.041,  243650.281250 ,      0.100800
 0.042,  243179.750000 ,      0.098500
 0.043,  244329.296875 ,      0.094400
 0.045,  244921.156250 ,      0.096200
 0.047,  243939.421875 ,      0.098500
 0.048,  243777.671875 ,      0.097500
 0.049,  244114.234375 ,      0.097000
 0.050,  244288.781250 ,      0.096400
 0.051,  244496.687500 ,      0.091800
 0.052,  244599.406250 ,      0.097000
 0.053,  244960.359375 ,      0.096200
 0.054,  244022.781250 ,      0.095500
 0.055,  243532.859375 ,      0.093200
 0.059,  243700.812500 ,      0.097300
 0.061,  243487.718750 ,      0.097500
 0.063,  244260.140625 ,      0.096200
 0.064,  243970.390625 ,      0.097700
 0.065,  243141.718750 ,      0.100900
 0.066,  244016.171875 ,      0.098600
 0.067,  243117.343750 ,      0.096000
 0.068,  244175.859375 ,      0.095000
 0.069,  236836.265625 ,      0.095400
 0.070,  243420.359375 ,      0.100300
 0.071,  243995.953125 ,      0.099400
 0.072,  243060.218750 ,      0.095500
 0.073,  243540.171875 ,      0.104600
 0.074,  244072.796875 ,      0.095900
 0.075,  243189.312500 ,      0.096500
 0.076,  243835.171875 ,      0.098800
 0.077,  244453.515625 ,      0.098700
 0.078,  244093.781250 ,      0.093600
 0.081,  244381.640625 ,      0.097500
 0.083,  243361.296875 ,      0.093300
 0.084,  243694.187500 ,      0.096500
 0.085,  244075.203125 ,      0.101000
 0.086,  243650.515625 ,      0.096700
 0.087,  243886.171875 ,      0.096100
 0.088,  243479.218750 ,      0.099000
 0.089,  243968.531250 ,      0.093800
 0.090,  243396.281250 ,      0.100100
 0.091,  244258.843750 ,      0.099300
 0.092,  244533.531250 ,      0.094900
 0.093,  243471.843750 ,      0.097300
 0.094,  243279.796875 ,      0.097600
 0.095,  244325.359375 ,      0.097200
 0.096,  244079.906250 ,      0.102000
 0.097,  244635.828125 ,      0.098200
 0.098,  244387.046875 ,      0.093100
 0.099,  243728.390625 ,      0.100100
 0.100,  244346.109375 ,      0.097500
 0.101,  244528.140625 ,      0.096400
 0.102,  243806.187500 ,      0.094100
 0.103,  244239.406250 ,      0.095600
 0.104,  244004.171875 ,      0.097300
 0.105,  243457.421875 ,      0.102500
 0.106,  243935.343750 ,      0.094900
 0.107,  243464.921875 ,      0.096100
 0.108,  244347.265625 ,      0.098800
 0.109,  243820.578125 ,      0.095300
 0.110,  244088.343750 ,      0.097000
 0.111,  243291.984375 ,      0.098200
 0.112,  243767.187500 ,      0.095700
 0.113,  243876.812500 ,      0.096900
 0.114,  244205.343750 ,      0.100700
 0.115,  243385.750000 ,      0.095100
 0.116,  243933.593750 ,      0.098800
 0.117,  244462.453125 ,      0.094000
 0.118,  244239.171875 ,      0.095400
 0.119,  244130.453125 ,      0.093500
 0.120,  243771.984375 ,      0.100000
 0.121,  244300.750000 ,      0.098200
 0.122,  243897.296875 ,      0.097800
 0.123,  243907.187500 ,      0.097900
 0.124,  244249.062500 ,      0.097400
 0.125,  244222.343750 ,      0.098500
 0.126,  243904.812500 ,      0.092900
 0.127,  245130.484375 ,      0.095100
 0.128,  243936.296875 ,      0.094600
 0.129,  243988.765625 ,      0.100000
 0.130,  243994.046875 ,      0.094300
 0.131,  244464.671875 ,      0.096600
 0.132,  244024.531250 ,      0.095600
 0.133,  242940.953125 ,      0.093500
 0.134,  244094.875000 ,      0.101900
 0.135,  244328.968750 ,      0.089300
 0.136,  244074.765625 ,      0.094600
 0.137,  243872.625000 ,      0.095000
 0.138,  243918.421875 ,      0.093600
 0.139,  243844.343750 ,      0.094200
 0.141,  243917.093750 ,      0.102100
 0.142,  243745.109375 ,      0.096700
 0.143,  243781.093750 ,      0.098200
 0.144,  243824.109375 ,      0.097900
 0.145,  243280.140625 ,      0.093000
 0.146,  243683.171875 ,      0.096900
 0.147,  243974.109375 ,      0.096400
 0.148,  243181.875000 ,      0.098600
 0.149,  243828.718750 ,      0.089700
 0.150,  244693.250000 ,      0.091800
 0.151,  244295.375000 ,      0.097600
 0.152,  243984.984375 ,      0.094700
 0.153,  244253.781250 ,      0.096200
 0.154,  243930.140625 ,      0.092600
 0.155,  243810.921875 ,      0.096600
 0.156,  244333.265625 ,      0.099600
 0.157,  243890.015625 ,      0.094700
 0.158,  244284.328125 ,      0.096200
 0.160,  243714.109375 ,      0.096000
 0.161,  243805.140625 ,      0.095200
 0.162,  244501.703125 ,      0.090600
 0.163,  244331.765625 ,      0.099000
 0.164,  244009.843750 ,      0.096500
 0.165,  243924.500000 ,      0.096500
 0.166,  244241.234375 ,      0.095300
 0.167,  243943.093750 ,      0.095900
 0.169,  243899.921875 ,      0.098000
 0.170,  243447.593750 ,      0.090400
 0.171,  243806.265625 ,      0.097000
 0.172,  244217.296875 ,      0.095500
 0.173,  243990.625000 ,      0.094800
 0.175,  244510.546875 ,      0.098600
 0.176,  244561.046875 ,      0.097000
 0.177,  243925.531250 ,      0.098900
