# mass_GeV,Qmin
10,0.134989
10.3139,0.135065
10.6376,0.135141
10.9716,0.135217
11.316,0.135293
11.6712,0.135369
12.0375,0.135445
12.4154,0.135521
12.8051,0.135597
13.207,0.135674
13.6216,0.13575
14.0492,0.135827
14.4902,0.135903
14.945,0.13598
15.4141,0.136057
15.898,0.136134
16.397,0.13621
16.9117,0.136287
17.4426,0.136364
17.9901,0.136442
18.5548,0.136519
19.1372,0.136596
19.7379,0.136673
20.3575,0.136772
20.9965,0.136886
21.6556,0.137
22.3354,0.137114
23.0365,0.137228
23.7596,0.137343
24.5054,0.137458
25.2746,0.137572
26.068,0.137688
26.8862,0.137803
27.7302,0.137918
28.6006,0.138034
29.4984,0.138149
30.4244,0.138331
31.3794,0.138591
32.3644,0.138852
33.3803,0.139114
34,0.13927
34.4281,0.139376
34.4615,0.139385
34.9231,0.139498
35.3846,0.139656
35.5088,0.139701
35.8462,0.139821
36.3077,0.140016
36.6234,0.140159
36.7692,0.140225
37.2308,0.140418
37.6923,0.140596
37.773,0.140626
38.1538,0.140797
38.6154,0.141048
38.9587,0.141233
39.0769,0.141298
39.5385,0.141553
40,0.141806
40.1816,0.141939
40.4615,0.142145
40.9231,0.142481
41.3846,0.142905
41.4429,0.142961
41.8462,0.143344
42.3077,0.143848
42.7437,0.144353
42.7692,0.144382
43.2308,0.145035
43.6923,0.145807
44.0855,0.146558
44.1538,0.146747
44.6154,0.148028
45.0769,0.149441
45.4693,0.15119
45.5385,0.151501
46,0.153596
46.4615,0.155032
46.8966,0.156397
46.9231,0.156481
47.3846,0.157467
47.8462,0.158361
48.3077,0.159068
48.3686,0.159149
48.7692,0.159681
49.2308,0.160242
49.6923,0.160751
49.8869,0.160965
50.1538,0.161163
50.6154,0.161384
51.0769,0.161603
51.4528,0.161781
51.5385,0.161821
52,0.162038
53.0679,0.162534
54.7337,0.163294
56.4518,0.164062
58.2238,0.164838
60.0514,0.165622
61.9364,0.166415
63.8806,0.167215
65.8858,0.168024
67.954,0.168842
70.087,0.16967
72.287,0.170506
74.5561,0.171351
76.8964,0.172207
79.3102,0.173072
81.7997,0.173948
84.3674,0.174834
87.0156,0.175731
89.747,0.176638
92.5642,0.177558
95.4697,0.178489
98.4665,0.179432
101.557,0.1803
104.745,0.181091
108.033,0.181891
111.424,0.182699
114.922,0.183517
118.529,0.184345
122.25,0.185182
126.087,0.186029
130.045,0.186886
134.127,0.187754
138.337,0.188632
142.68,0.189522
147.158,0.190423
151.778,0.191336
156.542,0.192261
161.456,0.193198
166.524,0.194148
171.751,0.195112
177.142,0.196089
182.703,0.197081
188.438,0.198087
194.353,0.199109
200.453,0.200151
206.746,0.201275
213.235,0.202419
219.929,0.203582
226.832,0.204766
233.952,0.205973
241.296,0.207201
248.87,0.208454
256.682,0.209731
264.74,0.211033
273.05,0.212363
281.621,0.213722
290.461,0.21511
299.578,0.21653
308.982,0.21814
318.681,0.219801
328.684,0.221508
339.001,0.223264
349.642,0.225073
360.618,0.226939
371.937,0.228864
383.612,0.230855
395.654,0.232916
408.073,0.235054
420.883,0.237274
434.094,0.239585
447.72,0.241995
461.774,0.244515
476.269,0.247157
491.219,0.249933
506.638,0.253025
522.542,0.256542
538.944,0.260312
555.861,0.26438
573.31,0.268801
591.306,0.273646
609.867,0.279012
629.01,0.285029
648.755,0.291877
669.119,0.299813
690.122,0.309204
711.785,0.32158
734.128,0.338222
757.172,0.359403
780.94,0.385193
805.453,0.414654
830.736,0.446964
856.813,0.481913
883.708,0.519611
911.447,0.560259
940.057,0.604086
969.566,0.651342
1000,0.702294
