# mass_GeV,Qmin
10,0.159444
10.3139,0.159502
10.6376,0.15956
10.9716,0.159618
11.316,0.159676
11.6712,0.159734
12.0375,0.159792
12.4154,0.159851
12.8051,0.159909
13.207,0.159967
13.6216,0.160026
14.0492,0.160084
14.4902,0.160143
14.945,0.160201
15.4141,0.16026
15.898,0.160319
16.397,0.160377
16.9117,0.160436
17.4426,0.160495
17.9901,0.160554
18.5548,0.160613
19.1372,0.160672
19.7379,0.160731
20.3575,0.160806
20.9965,0.160893
21.6556,0.16098
22.3354,0.161067
23.0365,0.161154
23.7596,0.161242
24.5054,0.161329
25.2746,0.161417
26.068,0.161504
26.8862,0.161592
27.7302,0.16168
28.6006,0.161768
29.4984,0.161857
30.4244,0.161995
31.3794,0.162193
32.3644,0.162391
33.3803,0.162591
34,0.16271
34.4281,0.162791
34.4615,0.162797
34.9231,0.162883
35.3846,0.163003
35.5088,0.163037
35.8462,0.163129
36.3077,0.163277
36.6234,0.163386
36.7692,0.163436
37.2308,0.163582
37.6923,0.163717
37.773,0.163741
38.1538,0.16387
38.6154,0.164061
38.9587,0.164201
39.0769,0.164251
39.5385,0.164444
40,0.164636
40.1816,0.164737
40.4615,0.164893
40.9231,0.165148
41.3846,0.165469
41.4429,0.165511
41.8462,0.165802
42.3077,0.166183
42.7437,0.166565
42.7692,0.166587
43.2308,0.167081
43.6923,0.167664
44.0855,0.168231
44.1538,0.168374
44.6154,0.169339
45.0769,0.170403
45.4693,0.171718
45.5385,0.171951
46,0.173522
46.4615,0.174597
46.8966,0.175618
46.9231,0.17568
47.3846,0.176417
47.8462,0.177084
48.3077,0.177611
48.3686,0.177672
48.7692,0.178068
49.2308,0.178486
49.6923,0.178865
49.8869,0.179024
50.1538,0.179172
50.6154,0.179336
51.0769,0.179499
51.4528,0.179631
51.5385,0.179661
52,0.179822
53.0679,0.180191
54.7337,0.180756
56.4518,0.181327
58.2238,0.181903
60.0514,0.182485
61.9364,0.183072
63.8806,0.183665
65.8858,0.184264
67.954,0.18487
70.087,0.185482
72.287,0.1861
74.5561,0.186725
76.8964,0.187357
79.3102,0.187995
81.7997,0.188641
84.3674,0.189294
87.0156,0.189955
89.747,0.190624
92.5642,0.191301
95.4697,0.191986
98.4665,0.192679
101.557,0.193318
104.745,0.193899
108.033,0.194487
111.424,0.19508
114.922,0.195681
118.529,0.196288
122.25,0.196902
126.087,0.197523
130.045,0.198151
134.127,0.198787
138.337,0.199431
142.68,0.200082
147.158,0.200742
151.778,0.20141
156.542,0.202087
161.456,0.202773
166.524,0.203468
171.751,0.204173
177.142,0.204887
182.703,0.205612
188.438,0.206347
194.353,0.207094
200.453,0.207855
206.746,0.208677
213.235,0.209512
219.929,0.210362
226.832,0.211227
233.952,0.212108
241.296,0.213006
248.87,0.213921
256.682,0.214854
264.74,0.215806
273.05,0.216778
281.621,0.217771
290.461,0.218787
299.578,0.219825
308.982,0.221004
318.681,0.222221
328.684,0.223473
339.001,0.224762
349.642,0.226091
360.618,0.227463
371.937,0.228881
383.612,0.230349
395.654,0.231873
408.073,0.233456
420.883,0.235105
434.094,0.236825
447.72,0.238626
461.774,0.240516
476.269,0.242506
491.219,0.244609
506.638,0.246965
522.542,0.249668
538.944,0.252596
555.861,0.255796
573.31,0.259329
591.306,0.263282
609.867,0.267778
629.01,0.272999
648.755,0.279228
669.119,0.286919
690.122,0.296806
711.785,0.311162
734.128,0.331683
757.172,0.356673
780.94,0.384455
805.453,0.414522
830.736,0.446949
856.813,0.481912
883.708,0.519611
911.447,0.560259
940.057,0.604086
969.566,0.651342
1000,0.702294
