# mass_GeV,Q_low,Q_high
10,0.134989,0.975947
10.3139,0.135065,0.975859
10.6376,0.135141,0.975771
10.9716,0.135217,0.975683
11.316,0.135293,0.975594
11.6712,0.135369,0.975506
12.0375,0.135445,0.975417
12.4154,0.135521,0.975329
12.8051,0.135597,0.97524
13.207,0.135674,0.975152
13.6216,0.13575,0.975063
14.0492,0.135827,0.974974
14.4902,0.135903,0.974886
14.945,0.13598,0.974797
15.4141,0.136057,0.974708
15.898,0.136134,0.974619
16.397,0.13621,0.97453
16.9117,0.136287,0.974441
17.4426,0.136364,0.974352
17.9901,0.136442,0.974263
18.5548,0.136519,0.974173
19.1372,0.136596,0.974084
19.7379,0.136673,0.973995
20.3575,0.136772,0.973882
20.9965,0.136886,0.97375
21.6556,0.137,0.973619
22.3354,0.137114,0.973487
23.0365,0.137228,0.973355
23.7596,0.137343,0.973224
24.5054,0.137458,0.973092
25.2746,0.137572,0.97296
26.068,0.137688,0.972827
26.8862,0.137803,0.972695
27.7302,0.137918,0.972563
28.6006,0.138034,0.97243
29.4984,0.138149,0.972297
30.4244,0.138331,0.97209
31.3794,0.138591,0.971792
32.3644,0.138852,0.971494
33.3803,0.139114,0.971195
34,0.13927,0.971017
34.4281,0.139376,0.970896
34.4615,0.139385,0.970887
34.9231,0.139498,0.970757
35.3846,0.139656,0.970578
35.5088,0.139701,0.970527
35.8462,0.139821,0.97039
36.3077,0.140016,0.970168
36.6234,0.140159,0.970006
36.7692,0.140225,0.969932
37.2308,0.140418,0.969713
37.6923,0.140596,0.969512
37.773,0.140626,0.969477
38.1538,0.140797,0.969284
38.6154,0.141048,0.969001
38.9587,0.141233,0.968792
39.0769,0.141298,0.968718
39.5385,0.141553,0.968431
40,0.141806,0.968146
40.1816,0.141939,0.967996
40.4615,0.142145,0.967765
40.9231,0.142481,0.967388
41.3846,0.142905,0.966913
41.4429,0.142961,0.966851
41.8462,0.143344,0.966422
42.3077,0.143848,0.96586
42.7437,0.144353,0.965299
42.7692,0.144382,0.965266
43.2308,0.145035,0.964542
43.6923,0.145807,0.963689
44.0855,0.146558,0.962863
44.1538,0.146747,0.962655
44.6154,0.148028,0.961253
45.0769,0.149441,0.959717
45.4693,0.15119,0.95783
45.5385,0.151501,0.957496
46,0.153596,0.955261
46.4615,0.155032,0.953742
46.8966,0.156397,0.952308
46.9231,0.156481,0.952221
47.3846,0.157467,0.951191
47.8462,0.158361,0.950263
48.3077,0.159068,0.94953
48.3686,0.159149,0.949447
48.7692,0.159681,0.948898
49.2308,0.160242,0.948321
49.6923,0.160751,0.947799
49.8869,0.160965,0.94758
50.1538,0.161163,0.947377
50.6154,0.161384,0.947152
51.0769,0.161603,0.946928
51.4528,0.161781,0.946747
51.5385,0.161821,0.946706
52,0.162038,0.946485
53.0679,0.162534,0.945981
54.7337,0.163294,0.94521
56.4518,0.164062,0.944434
58.2238,0.164838,0.943654
60.0514,0.165622,0.942868
61.9364,0.166415,0.942078
63.8806,0.167215,0.941282
65.8858,0.168024,0.940481
67.954,0.168842,0.939675
70.087,0.16967,0.938863
72.287,0.170506,0.938045
74.5561,0.171351,0.937222
76.8964,0.172207,0.936393
79.3102,0.173072,0.935558
81.7997,0.173948,0.934717
84.3674,0.174834,0.93387
87.0156,0.175731,0.933017
89.747,0.176638,0.932157
92.5642,0.177558,0.931291
95.4697,0.178489,0.930417
98.4665,0.179432,0.929537
101.557,0.1803,0.928731
104.745,0.181091,0.927999
108.033,0.181891,0.927263
111.424,0.182699,0.926522
114.922,0.183517,0.925775
118.529,0.184345,0.925024
122.25,0.185182,0.924267
126.087,0.186029,0.923504
130.045,0.186886,0.922736
134.127,0.187754,0.921963
138.337,0.188632,0.921183
142.68,0.189522,0.920398
147.158,0.190423,0.919607
151.778,0.191336,0.918809
156.542,0.192261,0.918005
161.456,0.193198,0.917195
166.524,0.194148,0.916378
171.751,0.195112,0.915555
177.142,0.196089,0.914724
182.703,0.197081,0.913887
188.438,0.198087,0.913042
194.353,0.199109,0.91219
200.453,0.200151,0.911326
206.746,0.201275,0.9104
213.235,0.202419,0.909466
219.929,0.203582,0.908521
226.832,0.204766,0.907568
233.952,0.205973,0.906604
241.296,0.207201,0.90563
248.87,0.208454,0.904646
256.682,0.209731,0.90365
264.74,0.211033,0.902644
273.05,0.212363,0.901626
281.621,0.213722,0.900596
290.461,0.21511,0.899554
299.578,0.21653,0.898499
308.982,0.21814,0.897316
318.681,0.219801,0.896111
328.684,0.221508,0.894888
339.001,0.223264,0.893647
349.642,0.225073,0.892386
360.618,0.226939,0.891106
371.937,0.228864,0.889805
383.612,0.230855,0.888483
395.654,0.232916,0.887137
408.073,0.235054,0.885768
420.883,0.237274,0.884374
434.094,0.239585,0.882953
447.72,0.241995,0.881505
461.774,0.244515,0.880028
476.269,0.247157,0.87852
491.219,0.249933,0.876979
506.638,0.253025,0.875318
522.542,0.256542,0.873496
538.944,0.260312,0.871625
555.861,0.26438,0.869699
573.31,0.268801,0.867714
591.306,0.273646,0.865667
609.867,0.279012,0.86355
629.01,0.285029,0.861357
648.755,0.291877,0.859081
669.119,0.299813,0.856713
690.122,0.309204,0.854243
711.785,0.32158,0.851447
734.128,0.338222,0.848308
757.172,0.359403,0.844968
780.94,0.385193,0.841389
805.453,0.414654,0.837522
830.736,0.446964,0.8333
856.813,0.481913,0.828627
883.708,0.519611,0.823356
911.447,0.560259,0.817248
940.057,0.604086,0.809869
969.566,0.651347,0.80025
1000,0.702882,0.78516
