# mass_GeV,Qmin
10,0.222222
10.3139,0.222301
10.6376,0.22238
10.9716,0.222459
11.316,0.222539
11.6712,0.222618
12.0375,0.222698
12.4154,0.222778
12.8051,0.222857
13.207,0.222937
13.6216,0.223017
14.0492,0.223097
14.4902,0.223177
14.945,0.223257
15.4141,0.223337
15.898,0.223417
16.397,0.223497
16.9117,0.223577
17.4426,0.223658
17.9901,0.223738
18.5548,0.223819
19.1372,0.223899
19.7379,0.22398
20.3575,0.224082
20.9965,0.224201
21.6556,0.22432
22.3354,0.224439
23.0365,0.224558
23.7596,0.224677
24.5054,0.224797
25.2746,0.224916
26.068,0.225036
26.8862,0.225156
27.7302,0.225276
28.6006,0.225396
29.4984,0.225517
30.4244,0.225705
31.3794,0.225975
32.3644,0.226246
33.3803,0.226518
34,0.22668
34.4281,0.226791
34.4615,0.226799
34.9231,0.226917
35.3846,0.227081
35.5088,0.227127
35.8462,0.227252
36.3077,0.227454
36.6234,0.227602
36.7692,0.22767
37.2308,0.22787
37.6923,0.228054
37.773,0.228086
38.1538,0.228263
38.6154,0.228522
38.9587,0.228714
39.0769,0.228781
39.5385,0.229044
40,0.229306
40.1816,0.229444
40.4615,0.229656
40.9231,0.230003
41.3846,0.23044
41.4429,0.230498
41.8462,0.230893
42.3077,0.231412
42.7437,0.231931
42.7692,0.231961
43.2308,0.232632
43.6923,0.233425
44.0855,0.234195
44.1538,0.234389
44.6154,0.235699
45.0769,0.237142
45.4693,0.238923
45.5385,0.23924
46,0.241364
46.4615,0.242817
46.8966,0.244195
46.9231,0.24428
47.3846,0.245273
47.8462,0.246172
48.3077,0.246882
48.3686,0.246964
48.7692,0.247497
49.2308,0.24806
49.6923,0.248569
49.8869,0.248784
50.1538,0.248982
50.6154,0.249202
51.0769,0.249422
51.4528,0.249599
51.5385,0.249639
52,0.249856
53.0679,0.250351
54.7337,0.25111
56.4518,0.251875
58.2238,0.252647
60.0514,0.253426
61.9364,0.254212
63.8806,0.255006
65.8858,0.255807
67.954,0.256615
70.087,0.257432
72.287,0.258256
74.5561,0.259088
76.8964,0.259929
79.3102,0.260779
81.7997,0.261637
84.3674,0.262504
87.0156,0.26338
89.747,0.264266
92.5642,0.265162
95.4697,0.266067
98.4665,0.266983
101.557,0.267825
104.745,0.268591
108.033,0.269364
111.424,0.270145
114.922,0.270934
118.529,0.27173
122.25,0.272535
126.087,0.273348
130.045,0.27417
134.127,0.275
138.337,0.275839
142.68,0.276688
147.158,0.277546
151.778,0.278414
156.542,0.279292
161.456,0.28018
166.524,0.281078
171.751,0.281988
177.142,0.282909
182.703,0.283841
188.438,0.284785
194.353,0.285742
200.453,0.286716
206.746,0.287764
213.235,0.288828
219.929,0.289908
226.832,0.291004
233.952,0.292117
241.296,0.293249
248.87,0.294399
256.682,0.295568
264.74,0.296757
273.05,0.297967
281.621,0.299199
290.461,0.300454
299.578,0.301733
308.982,0.303178
318.681,0.304662
328.684,0.30618
339.001,0.307735
349.642,0.309328
360.618,0.310962
371.937,0.312639
383.612,0.314363
395.654,0.316135
408.073,0.317961
420.883,0.319844
434.094,0.321787
447.72,0.323797
461.774,0.325877
476.269,0.328036
491.219,0.33028
506.638,0.332746
522.542,0.335509
538.944,0.33842
555.861,0.341497
573.31,0.344765
591.306,0.348252
609.867,0.351996
629.01,0.356043
648.755,0.360454
669.119,0.365309
690.122,0.370721
711.785,0.377367
734.128,0.385674
757.172,0.39583
780.94,0.408823
805.453,0.426349
830.736,0.450692
856.813,0.482561
883.708,0.519671
911.447,0.560261
940.057,0.604086
969.566,0.651342
1000,0.702294
