# mass_GeV,Q_low,Q_high
10,0.159444,0.983278
10.3139,0.159502,0.983217
10.6376,0.15956,0.983155
10.9716,0.159618,0.983094
11.316,0.159676,0.983032
11.6712,0.159734,0.982971
12.0375,0.159792,0.982909
12.4154,0.159851,0.982848
12.8051,0.159909,0.982786
13.207,0.159967,0.982724
13.6216,0.160026,0.982662
14.0492,0.160084,0.982601
14.4902,0.160143,0.982539
14.945,0.160201,0.982477
15.4141,0.16026,0.982415
15.898,0.160319,0.982353
16.397,0.160377,0.982291
16.9117,0.160436,0.982229
17.4426,0.160495,0.982167
17.9901,0.160554,0.982105
18.5548,0.160613,0.982043
19.1372,0.160672,0.981981
19.7379,0.160731,0.981919
20.3575,0.160806,0.98184
20.9965,0.160893,0.981748
21.6556,0.16098,0.981657
22.3354,0.161067,0.981565
23.0365,0.161154,0.981473
23.7596,0.161242,0.981382
24.5054,0.161329,0.98129
25.2746,0.161417,0.981198
26.068,0.161504,0.981106
26.8862,0.161592,0.981014
27.7302,0.16168,0.980921
28.6006,0.161768,0.980829
29.4984,0.161857,0.980737
30.4244,0.161995,0.980592
31.3794,0.162193,0.980385
32.3644,0.162391,0.980177
33.3803,0.162591,0.979969
34,0.16271,0.979845
34.4281,0.162791,0.979761
34.4615,0.162797,0.979754
34.9231,0.162883,0.979664
35.3846,0.163003,0.979539
35.5088,0.163037,0.979504
35.8462,0.163129,0.979409
36.3077,0.163277,0.979254
36.6234,0.163386,0.979141
36.7692,0.163436,0.979089
37.2308,0.163582,0.978937
37.6923,0.163717,0.978797
37.773,0.163741,0.978773
38.1538,0.16387,0.978638
38.6154,0.164061,0.978441
38.9587,0.164201,0.978296
39.0769,0.164251,0.978245
39.5385,0.164444,0.978044
40,0.164636,0.977846
40.1816,0.164737,0.977741
40.4615,0.164893,0.977581
40.9231,0.165148,0.977318
41.3846,0.165469,0.976987
41.4429,0.165511,0.976944
41.8462,0.165802,0.976645
42.3077,0.166183,0.976254
42.7437,0.166565,0.975863
42.7692,0.166587,0.97584
43.2308,0.167081,0.975336
43.6923,0.167664,0.974742
44.0855,0.168231,0.974166
44.1538,0.168374,0.974021
44.6154,0.169339,0.973045
45.0769,0.170403,0.971975
45.4693,0.171718,0.970661
45.5385,0.171951,0.970428
46,0.173522,0.968871
46.4615,0.174597,0.967813
46.8966,0.175618,0.966814
46.9231,0.17568,0.966753
47.3846,0.176417,0.966036
47.8462,0.177084,0.965389
48.3077,0.177611,0.964879
48.3686,0.177672,0.964821
48.7692,0.178068,0.964438
49.2308,0.178486,0.964036
49.6923,0.178865,0.963673
49.8869,0.179024,0.96352
50.1538,0.179172,0.963379
50.6154,0.179336,0.963222
51.0769,0.179499,0.963066
51.4528,0.179631,0.96294
51.5385,0.179661,0.962911
52,0.179822,0.962757
53.0679,0.180191,0.962406
54.7337,0.180756,0.961869
56.4518,0.181327,0.961329
58.2238,0.181903,0.960785
60.0514,0.182485,0.960238
61.9364,0.183072,0.959687
63.8806,0.183665,0.959133
65.8858,0.184264,0.958575
67.954,0.18487,0.958013
70.087,0.185482,0.957447
72.287,0.1861,0.956878
74.5561,0.186725,0.956305
76.8964,0.187357,0.955727
79.3102,0.187995,0.955146
81.7997,0.188641,0.95456
84.3674,0.189294,0.95397
87.0156,0.189955,0.953375
89.747,0.190624,0.952777
92.5642,0.191301,0.952173
95.4697,0.191986,0.951565
98.4665,0.192679,0.950952
101.557,0.193318,0.95039
104.745,0.193899,0.949881
108.033,0.194487,0.949368
111.424,0.19508,0.948852
114.922,0.195681,0.948332
118.529,0.196288,0.947809
122.25,0.196902,0.947282
126.087,0.197523,0.946751
130.045,0.198151,0.946216
134.127,0.198787,0.945678
138.337,0.199431,0.945135
142.68,0.200082,0.944589
147.158,0.200742,0.944038
151.778,0.20141,0.943483
156.542,0.202087,0.942923
161.456,0.202773,0.94236
166.524,0.203468,0.941791
171.751,0.204173,0.941218
177.142,0.204887,0.94064
182.703,0.205612,0.940058
188.438,0.206347,0.93947
194.353,0.207094,0.938878
200.453,0.207855,0.938277
206.746,0.208677,0.937633
213.235,0.209512,0.936983
219.929,0.210362,0.936327
226.832,0.211227,0.935664
233.952,0.212108,0.934994
241.296,0.213006,0.934317
248.87,0.213921,0.933633
256.682,0.214854,0.932942
264.74,0.215806,0.932243
273.05,0.216778,0.931536
281.621,0.217771,0.930821
290.461,0.218787,0.930098
299.578,0.219825,0.929366
308.982,0.221004,0.928545
318.681,0.222221,0.927709
328.684,0.223473,0.92686
339.001,0.224762,0.926
349.642,0.226091,0.925127
360.618,0.227463,0.92424
371.937,0.228881,0.923339
383.612,0.230349,0.922423
395.654,0.231873,0.921493
408.073,0.233456,0.920546
420.883,0.235105,0.919582
434.094,0.236825,0.918601
447.72,0.238626,0.917601
461.774,0.240516,0.916582
476.269,0.242506,0.915542
491.219,0.244609,0.914481
506.638,0.246965,0.913337
522.542,0.249668,0.912084
538.944,0.252596,0.910798
555.861,0.255796,0.909477
573.31,0.259329,0.908118
591.306,0.263282,0.906717
609.867,0.267778,0.905271
629.01,0.272999,0.903776
648.755,0.279228,0.902228
669.119,0.286919,0.900622
690.122,0.296806,0.89895
711.785,0.311162,0.897065
734.128,0.331683,0.894958
757.172,0.356673,0.892728
780.94,0.384455,0.890354
805.453,0.414522,0.887811
830.736,0.446949,0.885063
856.813,0.481912,0.882064
883.708,0.519611,0.878746
911.447,0.560259,0.87501
940.057,0.604086,0.870693
969.566,0.651342,0.865506
1000,0.702294,0.85884
