event,id,pt,eta,phi,momentum,mass
39,	-6000113,	293.389,	0.0403011,	-1.75198,	293.628,	15
40,	6000113,	26.7702,	-0.389446,	0.410826,	28.8261,	15
40,	-6000113,	142.319,	0.0995323,	2.79365,	143.024,	15
41,	6000113,	61.7962,	-1.29293,	0.857077,	121.056,	15
41,	-6000113,	60.9268,	-1.44286,	-2.27526,	136.141,	15
42,	6000113,	42.8331,	-0.045025,	-1.81741,	42.8765,	15
42,	-6000113,	59.241,	-1.46191,	0.480293,	134.655,	15
43,	6000113,	57.0426,	-0.580024,	-2.80223,	66.91,	15
43,	-6000113,	41.6568,	-2.27685,	-0.984446,	205.129,	15
44,	6000113,	97.778,	0.622754,	-2.38987,	117.359,	15
44,	-6000113,	94.3122,	1.12912,	-1.15754,	161.097,	15
45,	6000113,	40.1425,	-1.77711,	-2.67151,	122.07,	15
45,	-6000113,	66.7347,	0.197505,	-3.04406,	68.0406,	15
46,	6000113,	48.2764,	-0.910877,	-0.828242,	69.7275,	15
46,	-6000113,	59.69,	0.14109,	2.53687,	60.2851,	15
47,	6000113,	62.4498,	-1.86739,	0.511535,	206.893,	15
47,	-6000113,	46.8848,	-0.462607,	-1.37323,	51.9917,	15
48,	6000113,	28.3782,	0.241483,	-0.207659,	29.2096,	15
48,	-6000113,	63.8783,	-1.95095,	-1.01423,	229.243,	15
49,	6000113,	57.2375,	1.43836,	0.634419,	127.385,	15
49,	-6000113,	55.3231,	0.649484,	-2.46264,	67.4075,	15
50,	6000113,	66.6026,	1.92432,	0.21492,	232.992,	15
50,	-6000113,	54.076,	1.61865,	-2.96355,	141.799,	15
51,	6000113,	307.376,	1.06009,	-0.0374645,	496.884,	15
51,	-6000113,	319.699,	0.757094,	0.202806,	415.785,	15
52,	6000113,	258.456,	1.03717,	2.14824,	410.385,	15
52,	-6000113,	14.7127,	2.60596,	1.05023,	100.179,	15
53,	6000113,	62.8168,	-2.42768,	1.5533,	358.709,	15
53,	-6000113,	75.8208,	-2.04746,	-2.65047,	298.63,	15
54,	6000113,	62.3693,	-0.974886,	-1.22041,	94.4302,	15
54,	-6000113,	54.1523,	-1.75641,	2.45995,	161.49,	15
55,	6000113,	41.6935,	0.428499,	-2.39173,	45.5801,	15
55,	-6000113,	86.5097,	0.931425,	0.666039,	126.828,	15
56,	6000113,	53.3224,	-1.50604,	-1.53345,	126.124,	15
56,	-6000113,	70.5964,	-1.48902,	1.39902,	164.431,	15
57,	6000113,	14.6871,	-4.44303,	-1.55326,	624.527,	15
57,	-6000113,	25.4294,	-1.03727,	0.973272,	40.3811,	15
58,	6000113,	65.1596,	0.647721,	1.75775,	79.3128,	15
58,	-6000113,	52.0604,	1.67138,	-2.31645,	143.362,	15
59,	6000113,	82.8472,	0.740441,	-2.93592,	106.615,	15
59,	-6000113,	40.6812,	-0.450979,	1.38354,	44.8887,	15
60,	6000113,	49.1904,	1.2563,	0.206484,	93.3905,	15
60,	-6000113,	49.6945,	2.5603,	-3.00566,	323.435,	15
61,	6000113,	74.1075,	-2.12206,	-1.20869,	313.776,	15
61,	-6000113,	50.4745,	-2.77119,	1.23744,	404.81,	15
